artista,genero,,
Aaron Y Su Grupo Ilusion,Cumbia,,
Los Yaguaru,Cumbia,,
Los 50 De Joselito,Cumbia,,
Celso Pina,Cumbia,,
Los Dinamiteros de Colombia,Cumbia,,
Orquesta De Edmundo Arias,Cumbia,,
Conjunto Los Rumberos,Cumbia,,
Climaco Sarmiento Y Su Orquesta,Cumbia,,
Super Orquesta Cartagena,Cumbia,,
Los Caciques del Valle,Cumbia,,
Andres Landero,Cumbia,,
Jimmy Y Su Combo Negro,Cumbia,,
Sonora Tropicana,Cumbia,,
Aniceto Molina,Cumbia,,
Los Warahuaco,Cumbia,,
El Combo De Las Estrellas,Cumbia,,
Gustavo Quintero,Cumbia,,
Alfredo Gutierrez,Cumbia,,
Nelson Henriquez,Cumbia,,
Pastor Lopez,Cumbia,,
Jorge Celedón,Cumbia,,
Rodolfo y su Típica RA7,Cumbia,,
Gabriel Romero,Cumbia,,
Sonora Everest,Cumbia,,
Armando Hernandez,Cumbia,,
Nelson Y Sus Estrellas,Cumbia,,
Anibal Velasquez Y Su Conjunto,Cumbia,,
Gabriel Romero Y Su Orquesta,Cumbia,,
Chicos de Barrio,Cumbia,,
Rayito Colombiano,Cumbia,,
La Sonora Cordobesa,Cumbia,,
Lisandro Meza,Cumbia,,
La Sonora Dinamita,Cumbia,,
Simba Musical,Cumbia,,
Afrosound,Cumbia,,
Antonio Rivas,Cumbia,,
Efrén David Rivera,Cumbia,,
Luis Ornelas y su Grupo,Cumbia,,
Lisandro Meza Y Su Conjunto,Cumbia,,
Los Acosta,Cumbia,,
Grupo Kual?,Cumbia,,
La More,Cumbia,,
Grupo Cañaveral De Humberto Pabón,Cumbia,,
Los Socios Del Ritmo,Cumbia,,
Grupo Bryndis,Cumbia,,
Roberto Moron Y Su Atentado Internacional,Cumbia,,
Los Llayras,Cumbia,,
Los Telez,Cumbia,,
La Tropa Vallenata,Cumbia,,
Samuray,Cumbia,,
Los Angeles Azules,Cumbia,,
Ladron,Cumbia,,
Los Angeles De Charly,Cumbia,,
Grupo Sonador,Cumbia,,
Chucho Ponce Los Daddys de Chinantla,Cumbia,,
Grupo Mojado,Cumbia,,
La Revancha,Cumbia,,
Alberto Pedraza,Cumbia,,
Los Acaboy's,Cumbia,,
Los Tigrillos,Cumbia,,
Los Mier,Cumbia,,
Los Askis,Cumbia,,
Grupo Pegasso,Cumbia,,
Grupo G,Cumbia,,
Los Yes Yes,Cumbia,,
Tom Zanetti,House,,
John Gibbons,House,,
Disciples,House,,
Mark Knight,House,,
Low Steppa,House,,
Duke Dumont,House,,
Lee Walker,House,,
99 Souls,House,,
Eden Prince,House,,
Secondcity,House,,
Oliver Heldens,House,,
KDA,House,,
Gorgon City,House,,
Blonde,House,,
Ben Pearce,House,,
Years & Years,House,,
Kideko,House,,
Black Saint,House,,
Hannah Wants,House,,
Kattison,House,,
Lushington,House,,
Riton,House,,
Metroplane,House,,
Hot Since 82,House,,
Julio Bashmore,House,,
Billon,House,,
Kokiri,House,,
Endor,House,,
Dusky,House,,
Zac Samuel,House,,
Jax Jones,House,,
Tough Love,House,,
Ryan Blyth,House,,
Icarus,House,,
TCTS,House,,
Breach,House,,
My Digital Enemy,House,,
Example,House,,
Friend Within,House,,
Disclosure,House,,
Matoma,House,,
DJ Cameo,House,,
Shadow Child,House,,
Ku De Ta,House,,
 Fabich Remix,House,,
Chris Lorenzo,House,,
Apexape,House,,
Punctual,House,,
Tuff London,House,,
Mike Perry,House,,
State of Sound,House,,
Martin Jensen,House,,
KLYMVX,House,,
EC Twins,House,,
Remady,House,,
Ftampa,House,,
FRENSHIP,House,,
Lost Frequencies,House,,
Klingande,House,,
Oceans,House,,
CVBZ,House,,
James Arthur,House,,
Starley,House,,
Campsite Dream,House,,
SJUR,House,,
Sam Feldt,House,,
Craig David,House,,
Broken Back,House,,
Mahmut Orhan,House,,
Maybon,House,,
filous,House,,
Dante Klein,House,,
MUNA,House,,
ZHU,House,,
Kygo,House,,
Tep No,House,,
NOËP,House,,
LCAW,House,,
Comet Blue,House,,
Major Lazer,House,,
MIKVH,House,,
Purasangre,House,,
Alle Farben,House,,
Tiësto,House,,
Tez Cadey,House,,
Alicia Keys,House,,
Alan Walker,House,,
Sondr,House,,
Imany,House,,
Bakermat,House,,
Marcus Layton,House,,
Embody,House,,
TooManyLeftHands,House,,
Izzy Bizu,House,,
Julian Perretta,House,,
Cheat Codes,House,,
Nathan Goshen,House,,
Charming Horses,House,,
Mako,House,,
Dillon Francis,House,,
Bearson,House,,
Kaskade,House,,
Steve Aoki,House,,
Yall,House,,
Tom Redwood,House,,
PANG!,House,,
Tom Odell,House,,
Emma Bale,House,,
LISTENBEE,House,,
Damien Jurado,House,,
SNBRN,House,,
OMI,House,,
Alex Adair,House,,
Snakehips,House,,
Lily & Madeleine,House,,
Mr. Probz,House,,
Tatomed,Techno,,
Oscar L,Techno,,
Como Sea,Techno,,
Jose M.,Techno,,
Protocluster,Techno,,
Noir & Hayze,Techno,,
Marc Romboy,Techno,,
Fur Coat,Techno,,
Emanuel Satie,Techno,,
Coyu,Techno,,
Whilk & Misky,Techno,,
Cristoph,Techno,,
Jonas Rathsman,Techno,,
Modul Kollektiv,Techno,,
Giorgio Maulini,Techno,,
Beatamines,Techno,,
Marcos Cruz,Techno,,
Yves Murasca,Techno,,
Kidnap Kid,Techno,,
Sam Paganini,Techno,,
Matador,Techno,,
Dubfire,Techno,,
Nina Kraviz,Techno,,
Sacha Robotti,Techno,,
WhoMadeWho,Techno,,
Barber,Techno,,
Loco Dice,Techno,,
The/Das,Techno,,
Noir,Techno,,
Detlef,Techno,,
Joseph Gaex,Techno,,
Wehbba,Techno,,
Jamie Jones,Techno,,
Popof,Techno,,
Bob Moses,Techno,,
Henry Saiz,Techno,,
Justin Jay,Techno,,
Moonwalk,Techno,,
Adriatique,Techno,,
Nicole Moudaber,Techno,,
Julian Jeweil,Techno,,
Recondite,Techno,,
Adam Beyer,Techno,,
Marco Carola,Techno,,
Anna,Techno,,
Loco & Jam,Techno,,
Olivier Giacomotto,Techno,,
Romero,Techno,,
Adrian Hour,Techno,,
Flow & Zeo,Techno,,
Stefano Noferini,Techno,,
Damian Lazarus,Techno,,
Eagles & Butterflies,Techno,,
Danny Daze,Techno,,
Tiga,Techno,,
