cancion;artista;genero;;
Amor Sin Confianza;Aaron Y Su Grupo Ilusion;Cumbia;;
Amor Sin Primavera;Los Yaguaru;Cumbia;;
Cuerpo Cobarde;Los 50 De Joselito;Cumbia;;
Cumbia Campanera;Celso Pina;Cumbia;;
Cumbia Cienaguera;Los Dinamiteros de Colombia;Cumbia;;
Cumbia Del Caribe;Orquesta De Edmundo Arias;Cumbia;;
Cumbia del Puerto;Conjunto Los Rumberos;Cumbia;;artista-compuso->cancion
Cumbia Sabrosa;Climaco Sarmiento Y Su Orquesta;Cumbia;;genero-contiene->artista
Cumbia Sampuesana;Super Orquesta Cartagena;Cumbia;;artista-relacionado->estado
Cumbia Sobre el Mar;Los Caciques del Valle;Cumbia;;
Cumbia y Sol;Andres Landero;Cumbia;;
El Borracho;Jimmy Y Su Combo Negro;Cumbia;;
El Chuponcito;Sonora Tropicana;Cumbia;;
El Diario De Un Borracho;Aniceto Molina;Cumbia;;
El Hombre Que Yo Amo;Sonora Tropicana;Cumbia;;
El Pescador De Baru;Los Warahuaco;Cumbia;;
En Silencio Te Amare;El Combo De Las Estrellas;Cumbia;;
Enamorando (sin Querer Queriendo);Los Warahuaco;Cumbia;;
Ese Muerto No Lo Cargo Yo;Gustavo Quintero;Cumbia;;
Esta Noche Es Mia;Alfredo Gutierrez;Cumbia;;
Festival Vallenato;Nelson Henriquez;Cumbia;;
Golpe Con Golpe;Pastor Lopez;Cumbia;;
He Nacido Para Amarte;Los Warahuaco;Cumbia;;
La Candela Viva;Jorge Celedón;Cumbia;;
La Carta Numero Tres;Alfredo Gutierrez;Cumbia;;
La Colegiala;Rodolfo y su Típica RA7;Cumbia;;
La Negra Caderona;Aniceto Molina;Cumbia;;
La Subienda;Gabriel Romero;Cumbia;;
La vendetta;Sonora Everest;Cumbia;;
La Zenaida;Armando Hernandez;Cumbia;;
Londres;Nelson Y Sus Estrellas;Cumbia;;
Luz De Cumbia;Anibal Velasquez Y Su Conjunto;Cumbia;;
Me Importa un Carajo;Gabriel Romero Y Su Orquesta;Cumbia;;
