cancion	artista	estado/actividad
Nothing Else Matters	Metallica	Enojo
Heart-Shaped Box	Nirvana	Enojo
The Middle	Jimmy Eat World	Enojo
Jane Says	Jane's Addiction	Enojo
No One Knows	Queens Of The Stone Age	Enojo
Chop Suey!	System of a Down	Enojo
Savior	Rise Against	Enojo
Everlong	Foo Fighters	Enojo
Seven Nation Army	The White Stripes	Enojo
Killing In The Name	Rage Against The Machine	Enojo
Kryptonite	3 Doors Down	Enojo
Last Resort	Papa Roach	Enojo
Take A Look Around	Limp Bizkit	Enojo
Numb	Linkin Park	Enojo
The Kill (Bury Me)	Thirty Seconds To Mars	Enojo
Song 2	Blur	Enojo
Howlin’ For You	The Black Keys	Enojo
Black Hole Sun	Soundgarden	Enojo
Self Esteem	The Offspring	Enojo
It's Been Awhile	Staind	Enojo
Under The Bridge	Red Hot Chili Peppers	Enojo
Sex on Fire	Kings Of Leon	Enojo
Fake It	Seether	Enojo
Pardon Me	Incubus	Enojo
Hail to the King	Avenged Sevenfold	Enojo
I Hate Everything About You	Three Days Grace	Enojo
Through Glass	Stone Sour	Enojo
Sweet Child O' Mine	Guns N' Roses	Enojo
All The Small Things	blink-182	Enojo
Sugar	 We're Goin Down	Enojo
Bring Me To Life	Evanescence	Enojo
The Red	Chevelle	Enojo
Show Me How to Live	Audioslave	Enojo
Santeria	Sublime	Enojo
Uprising	Muse	Enojo
Youth Of The Nation	P.O.D.	Enojo
Sweet Dreams (Are Made Of This)	Marilyn Manson	Enojo
American Idiot	Green Day	Enojo
Cherub Rock	The Smashing Pumpkins	Enojo
Interstate Love Song	Stone Temple Pilots	Enojo
Falling Away from Me	Korn	Enojo
Buddy Holly	Weezer	Enojo
Epic	Faith No More	Enojo
Even Flow	Pearl Jam	Enojo
Would?	Alice In Chains	Enojo
Change (In the House of Flies)	Deftones	Enojo
Take A Picture	Filter	Enojo
Tomorrow - Remastered	Silverchair	Enojo
Celebrity Skin	Hole	Enojo
The Mack	Nevada	Fiesta
Black Beatles	Rae Sremmurd	Fiesta
All We Know	The Chainsmokers	Fiesta
The Greatest	Sia	Fiesta
My Way	Calvin Harris	Fiesta
That's What I Like	Bruno Mars	Fiesta
Call On Me - Ryan Riback Remix	Starley	Fiesta
September Song	JP Cooper	Fiesta
Side To Side	Ariana Grande	Fiesta
Sun Models (feat. Madelyn Grant)	ODESZA	Fiesta
Trust Nobody	Cashmere Cat	Fiesta
Closer	The Chainsmokers	Fiesta
24K Magic	Bruno Mars	Fiesta
In the Name of Love	Martin Garrix	Fiesta
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)	Vice	Fiesta
Thinking About It (Let It Go) - KVR Remix	Nathan Goshen	Fiesta
Final Song	MØ	Fiesta
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix	Lana Del Rey	Fiesta
Controlla	Drake	Fiesta
All of Me (feat. Logic	 ROZES)	Fiesta
Ain't My Fault	Zara Larsson	Fiesta
Starving	Hailee Steinfeld	Fiesta
Let Me Love You	DJ Snake	Fiesta
Let Me Hold You (Turn Me On)	Cheat Codes	Fiesta
Feel So Close - Radio Edit	Calvin Harris	Fiesta
Waiting For You (feat. Madison Love)	Coyote Kisses	Fiesta
Cool Girl	Tove Lo	Fiesta
Rewind (feat. Sophie Strauss)	Wingtip	Fiesta
Cold Water	Major Lazer	Fiesta
Perfect Strangers	Jonas Blue	Fiesta
Say It (feat. Tove Lo)	Flume	Fiesta
Setting Fires	The Chainsmokers	Fiesta
Sexual	NEIKED	Fiesta
Capsize	FRENSHIP	Fiesta
Bikini Body	Dawin	Fiesta
Don't Let Me Down	The Chainsmokers	Fiesta
Whole Heart	Gryffin	Fiesta
Invitation (feat. Yade Lauren)	Yellow Claw	Fiesta
Out Of My System	Youngr	Fiesta
Work - R3hab Remix	Rihanna	Fiesta
Caroline	Aminé	Fiesta
Takes My Body Higher (feat. Lincoln Jesser)	Shoffy	Fiesta
Weak	AJR	Fiesta
Paper Planes	M.I.A.	Fiesta
Weekend	Louis The Child	Fiesta
Aloha	Møme	Fiesta
Alarm	Anne-Marie	Fiesta
Sing to You	John Splithoff	Fiesta
Me soltaste 	 Jesse & Joy	Romantico
Love on the Weekend 	 John Mayer	Romantico
Too Good To Say Goodbye 	 Bruno Mars	Romantico
Ya Me Enteré 	 Reik	Romantico
Million Reasons 	 Lady Gaga	Romantico
Quiero Que Vuelvas 	 Alejandro Fernandez	Romantico
Moonlight 	 Ariana Grande	Romantico
Si tú no vuelves - MTV Unplugged 	 Miguel Bosé	Romantico
Water Under the Bridge 	 Adele	Romantico
Que Lo Nuestro Se Quede Nuestro 	 Carlos Rivera	Romantico
Aquí 	 Kany Garcia	Romantico
Siempre Estaré Ahí 	 Rachel Platten	Romantico
Love Yourself 	 Justin Bieber	Romantico
Say Something 	 A Great Big World	Romantico
Gris 	 India Martinez	Romantico
Abrazame 	 Ivan Noble	Romantico
Ruin 	 Shawn Mendes	Romantico
Como Yo Te Amé 	 Bustamante	Romantico
Hope 	 Alejandro Lerner	Romantico
To Find You 	 Sing Street	Romantico
Una y otra vez 	 Manuel Medrano	Romantico
Nada Es Como Tú - Acústico 	 Ricardo Arjona	Romantico
