artista;estado
Metallica;Enojo
Nirvana;Enojo
Jimmy Eat World;Enojo
Jane's Addiction;Enojo
Queens Of The Stone Age;Enojo
System of a Down;Enojo
Rise Against;Enojo
Foo Fighters;Enojo
The White Stripes;Enojo
Rage Against The Machine;Enojo
3 Doors Down;Enojo
Papa Roach;Enojo
Limp Bizkit;Enojo
Linkin Park;Enojo
Thirty Seconds To Mars;Enojo
Blur;Enojo
The Black Keys;Enojo
Soundgarden;Enojo
The Offspring;Enojo
Staind;Enojo
Red Hot Chili Peppers;Enojo
Kings Of Leon;Enojo
Seether;Enojo
Incubus;Enojo
Avenged Sevenfold;Enojo
Three Days Grace;Enojo
Stone Sour;Enojo
Guns N' Roses;Enojo
blink-182;Enojo
 We're Goin Down;Enojo
Evanescence;Enojo
Chevelle;Enojo
Audioslave;Enojo
Sublime;Enojo
Muse;Enojo
P.O.D.;Enojo
Marilyn Manson;Enojo
Green Day;Enojo
The Smashing Pumpkins;Enojo
Stone Temple Pilots;Enojo
Korn;Enojo
Weezer;Enojo
Faith No More;Enojo
Pearl Jam;Enojo
Alice In Chains;Enojo
Deftones;Enojo
Filter;Enojo
Silverchair;Enojo
Hole;Enojo
Nevada;Fiesta
Rae Sremmurd;Fiesta
The Chainsmokers;Fiesta
Sia;Fiesta
Calvin Harris;Fiesta
Bruno Mars;Fiesta
Starley;Fiesta
JP Cooper;Fiesta
Ariana Grande;Fiesta
ODESZA;Fiesta
Cashmere Cat;Fiesta
Martin Garrix;Fiesta
Vice;Fiesta
Nathan Goshen;Fiesta
MØ;Fiesta
Lana Del Rey;Fiesta
Drake;Fiesta
 ROZES);Fiesta
Zara Larsson;Fiesta
Hailee Steinfeld;Fiesta
DJ Snake;Fiesta
Cheat Codes;Fiesta
Coyote Kisses;Fiesta
Tove Lo;Fiesta
Wingtip;Fiesta
Major Lazer;Fiesta
Jonas Blue;Fiesta
Flume;Fiesta
NEIKED;Fiesta
FRENSHIP;Fiesta
Dawin;Fiesta
Gryffin;Fiesta
Yellow Claw;Fiesta
Youngr;Fiesta
Rihanna;Fiesta
Aminé;Fiesta
Shoffy;Fiesta
AJR;Fiesta
M.I.A.;Fiesta
Louis The Child;Fiesta
Møme;Fiesta
Anne-Marie;Fiesta
John Splithoff;Fiesta
 Jesse & Joy;Romantico
 John Mayer;Romantico
 Bruno Mars;Romantico
 Reik;Romantico
 Lady Gaga;Romantico
 Alejandro Fernandez;Romantico
 Ariana Grande;Romantico
 Miguel Bosé;Romantico
 Adele;Romantico
 Carlos Rivera;Romantico
 Kany Garcia;Romantico
 Rachel Platten;Romantico
 Justin Bieber;Romantico
 A Great Big World;Romantico
 India Martinez;Romantico
 Ivan Noble;Romantico
 Shawn Mendes;Romantico
 Bustamante;Romantico
 Alejandro Lerner;Romantico
 Sing Street;Romantico
 Manuel Medrano;Romantico
 Ricardo Arjona;Romantico
 Tori Kelly;Romantico
 Mau y Ricky;Romantico
 Niall Horan;Romantico
 Luciano Pereyra;Romantico
 John Legend;Romantico
 Ricardo Montaner;Romantico
 Meghan Trainor;Romantico
 Mario Guerrero;Romantico
 Cristian Castro;Romantico
 Beyoncé;Romantico
 Christina Perri;Romantico
 Abel Pintos;Romantico
 Consuelo Schuster;Romantico
 Alessia Cara;Romantico
 Manuel Carrasco;Romantico
 Sam Smith;Romantico
 Camila Gallardo;Romantico
 Ed Sheeran;Romantico
 Loli Molina;Romantico
 Dani Del Corral;Romantico
 Santiago Cruz;Romantico
 Salo;Romantico
 Colbie Caillat;Romantico
 Frances;Romantico
 Alicia Keys;Romantico
 Alejandro Sanz;Romantico
 James Blunt;Romantico
 Sin Bandera;Romantico
 Debi Nova;Romantico
 Sia;Romantico
 Lianne La Havas;Romantico
 Tyler Ward;Relax
 Chairlift;Relax
 James Hersey;Relax
 Tatiana Manaois;Relax
 Jósean Log;Relax
 The 1975;Relax
 Adiós París;Relax
 Matisse;Relax
 BANNERS;Relax
 ZHU;Relax
 Coldplay;Relax
 Beatriz Luengo;Relax
 Poolside;Relax
 Mane de la Parra;Relax
 Coronel;Relax
 Ria Mae;Relax
 Julia Sheer & Jon D;Relax
 Salomón Beda;Relax
 Echosmith;Relax
 Keane;Relax
 The Head and the Heart;Relax
 Maroon 5;Relax
 A R I Z O N A;Relax
 Megan Davies;Relax
 Maggie Rogers;Relax
 Bjonr;Relax
 James Bay;Relax
 Frank Ocean;Relax
 JP Cooper;Relax
 James Vincent McMorrow;Relax
 Joseph;Relax
 Los Rumberos De Massachusetts;Relax
 Usher;Relax
