cancion,artista,
Nothing Else Matters,Metallica,
Heart-Shaped Box,Nirvana,
The Middle,Jimmy Eat World,
Jane Says,Jane's Addiction,
No One Knows,Queens Of The Stone Age,
Chop Suey!,System of a Down,
Savior,Rise Against,
Everlong,Foo Fighters,
Seven Nation Army,The White Stripes,
Killing In The Name,Rage Against The Machine,
Kryptonite,3 Doors Down,
Last Resort,Papa Roach,
Take A Look Around,Limp Bizkit,
Numb,Linkin Park,
The Kill (Bury Me),Thirty Seconds To Mars,
Song 2,Blur,
Howlin’ For You,The Black Keys,
Black Hole Sun,Soundgarden,
Self Esteem,The Offspring,
It's Been Awhile,Staind,
Under The Bridge,Red Hot Chili Peppers,
Sex on Fire,Kings Of Leon,
Fake It,Seether,
Pardon Me,Incubus,
Hail to the King,Avenged Sevenfold,
I Hate Everything About You,Three Days Grace,
Through Glass,Stone Sour,
Sweet Child O' Mine,Guns N' Roses,
All The Small Things,blink-182,
Sugar, We're Goin Down,
Bring Me To Life,Evanescence,
The Red,Chevelle,
Show Me How to Live,Audioslave,
Santeria,Sublime,
Uprising,Muse,
Youth Of The Nation,P.O.D.,
Sweet Dreams (Are Made Of This),Marilyn Manson,
American Idiot,Green Day,
Cherub Rock,The Smashing Pumpkins,
Interstate Love Song,Stone Temple Pilots,
Falling Away from Me,Korn,
Buddy Holly,Weezer,
Epic,Faith No More,
Even Flow,Pearl Jam,
Would?,Alice In Chains,
Change (In the House of Flies),Deftones,
Take A Picture,Filter,
Tomorrow - Remastered,Silverchair,
Celebrity Skin,Hole,
The Mack,Nevada,
Black Beatles,Rae Sremmurd,
All We Know,The Chainsmokers,
The Greatest,Sia,
My Way,Calvin Harris,
That's What I Like,Bruno Mars,
Call On Me - Ryan Riback Remix,Starley,
September Song,JP Cooper,
Side To Side,Ariana Grande,
Sun Models (feat. Madelyn Grant),ODESZA,
Trust Nobody,Cashmere Cat,
Closer,The Chainsmokers,
24K Magic,Bruno Mars,
In the Name of Love,Martin Garrix,
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars),Vice,
Thinking About It (Let It Go) - KVR Remix,Nathan Goshen,
Final Song,MØ,
Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,Lana Del Rey,
Controlla,Drake,
All of Me (feat. Logic, ROZES),
Ain't My Fault,Zara Larsson,
Starving,Hailee Steinfeld,
Let Me Love You,DJ Snake,
Let Me Hold You (Turn Me On),Cheat Codes,
Feel So Close - Radio Edit,Calvin Harris,
Waiting For You (feat. Madison Love),Coyote Kisses,
Cool Girl,Tove Lo,
Rewind (feat. Sophie Strauss),Wingtip,
Cold Water,Major Lazer,
Perfect Strangers,Jonas Blue,
Say It (feat. Tove Lo),Flume,
Setting Fires,The Chainsmokers,
Sexual,NEIKED,
Capsize,FRENSHIP,
Bikini Body,Dawin,
Don't Let Me Down,The Chainsmokers,
Whole Heart,Gryffin,
Invitation (feat. Yade Lauren),Yellow Claw,
Out Of My System,Youngr,
Work - R3hab Remix,Rihanna,
Caroline,Aminé,
Takes My Body Higher (feat. Lincoln Jesser),Shoffy,
Weak,AJR,
Paper Planes,M.I.A.,
Weekend,Louis The Child,
Aloha,Møme,
Alarm,Anne-Marie,
Sing to You,John Splithoff,
Me soltaste , Jesse & Joy,
Love on the Weekend , John Mayer,
Too Good To Say Goodbye , Bruno Mars,
Ya Me Enteré , Reik,
Million Reasons , Lady Gaga,
Quiero Que Vuelvas , Alejandro Fernandez,
Moonlight , Ariana Grande,
Si tú no vuelves - MTV Unplugged , Miguel Bosé,
Water Under the Bridge , Adele,
Que Lo Nuestro Se Quede Nuestro , Carlos Rivera,
Aquí , Kany Garcia,
Siempre Estaré Ahí , Rachel Platten,
Love Yourself , Justin Bieber,
Say Something , A Great Big World,
Gris , India Martinez,
Abrazame , Ivan Noble,
Ruin , Shawn Mendes,
Como Yo Te Amé , Bustamante,
Hope , Alejandro Lerner,
To Find You , Sing Street,
Una y otra vez , Manuel Medrano,
Nada Es Como Tú - Acústico , Ricardo Arjona,
I Was Made For Loving You , Tori Kelly,
Para Olvidarte , Mau y Ricky,
This Town , Niall Horan,
Si No Es Muy Tarde - En Vivo , Luciano Pereyra,
All of Me , John Legend,
Aunque Ahora Estés Con El , Ricardo Montaner,
Hopeless Romantic , Meghan Trainor,
Fueron Tus Besos , Mario Guerrero,
Simplemente Tú , Cristian Castro,
Halo , Beyoncé,
A Thousand Years , Christina Perri,
Como Te Extraño , Abel Pintos,
Después del Adiós , Consuelo Schuster,
Stars , Alessia Cara,
Uno X Uno , Manuel Carrasco,
Lay Me Down , Sam Smith,
Más De La Mitad , Camila Gallardo,
Thinking Out Loud , Ed Sheeran,
Las Cosas Que Se Quedan , Loli Molina,
Un Pedazo de Mí , Dani Del Corral,
Vida de Mis Vidas , Santiago Cruz,
Parece Que Fue Ayer , Salo,
In Love Again , Colbie Caillat,
Say It Again , Frances,
If I Ain't Got You , Alicia Keys,
A Que No Me Dejas , Alejandro Sanz,
You're Beautiful , James Blunt,
En Ésta No , Sin Bandera,
Por Última Vez (feat. Franco De Vita) , Debi Nova,
Elastic Heart - Live from The Village , Sia,
Say a Little Prayer - Live , Lianne La Havas,
Closer - Acoustic , Tyler Ward,
Polymorphing , Chairlift,
Miss You , James Hersey,
B.O.M.O. , Tatiana Manaois,
Beso , Jósean Log,
Somebody Else , The 1975,
Chica Bonita , Adiós París,
Thinking Out Loud , Ed Sheeran,
Alguna Vez , Matisse,
Start A Riot , BANNERS,
Ruin , Shawn Mendes,
Hometown Girl , ZHU,
Parece Que Fue Ayer , Salo,
Magic , Coldplay,
Ley De Newton , Beatriz Luengo,
And the Sea , Poolside,
Amor sincero , Mane de la Parra,
Nunca Es Tarde , Coronel,
Ooh Love , Ria Mae,
I'm Not The Only One , Sam Smith,
Little Talks , Julia Sheer & Jon D,
Pa'lante , Salomón Beda,
Bright , Echosmith,
Everybody's Changing , Keane,
All We Ever Knew , The Head and the Heart,
She Will Be Loved , Maroon 5,
I Was Wrong - Robin Schulz Remix , A R I Z O N A,
Want to Want Me [Acoustic Cover] , Megan Davies,
Alaska , Maggie Rogers,
Broken , Bjonr,
Let It Go , James Bay,
